79.0 100.0 1
149.0 148.0 1
163.0 8.0 2
79.0 101.0 1
150.0 148.0 1
88.0 9.0 -1
163.0 8.0 2
77.0 100.0 1
150.0 149.0 1
88.0 9.0 -1
163.0 8.0 2
76.0 100.0 1
149.0 149.0 1
88.0 9.0 -1
163.0 8.0 2
75.0 100.0 1
149.0 149.0 1
88.0 9.0 -1
163.0 9.0 2
73.0 101.0 1
149.0 148.0 1
88.0 9.0 -1
162.0 9.0 2
72.0 102.0 1
149.0 147.0 1
88.0 9.0 -1
162.0 9.0 2
71.0 102.0 1
149.0 146.0 1
88.0 9.0 -1
162.0 9.0 2
71.0 101.0 1
149.0 146.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
148.0 143.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
147.0 141.0 1
65.0 97.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
145.0 140.0 1
65.0 98.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
144.0 138.0 1
65.0 98.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
144.0 136.0 1
65.0 98.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
143.0 134.0 1
65.0 98.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
143.0 133.0 1
65.0 98.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
143.0 132.0 1
59.0 98.0 1
65.0 98.0 1
88.0 9.0 -1
162.0 9.0 2
70.0 101.0 1
143.0 132.0 1
57.0 98.0 1
65.0 98.0 1
162.0 9.0 2
70.0 101.0 1
143.0 132.0 1
199.0 17.0 2
55.0 97.0 1
65.0 98.0 1
162.0 9.0 2
70.0 101.0 1
142.0 131.0 1
200.0 17.0 2
54.0 97.0 1
65.0 98.0 1
162.0 9.0 2
70.0 101.0 1
142.0 131.0 1
200.0 17.0 2
53.0 97.0 1
65.0 98.0 1
162.0 9.0 2
70.0 101.0 1
142.0 131.0 1
200.0 17.0 2
52.0 98.0 1
65.0 98.0 1
163.0 9.0 2
70.0 101.0 1
142.0 131.0 1
200.0 17.0 2
53.0 98.0 1
65.0 98.0 1
163.0 9.0 2
70.0 101.0 1
139.0 127.0 1
200.0 17.0 2
52.0 99.0 1
65.0 98.0 1
164.0 9.0 2
70.0 101.0 1
139.0 126.0 1
200.0 17.0 2
52.0 100.0 1
65.0 98.0 1
164.0 9.0 2
139.0 126.0 1
46.0 99.0 1
200.0 17.0 2
52.0 100.0 1
65.0 98.0 1
163.0 9.0 2
139.0 126.0 1
204.0 16.0 2
46.0 99.0 1
200.0 17.0 2
52.0 100.0 1
65.0 98.0 1
163.0 9.0 2
139.0 126.0 1
204.0 16.0 2
46.0 99.0 1
200.0 17.0 2
52.0 100.0 1
163.0 9.0 2
137.0 123.0 1
263.0 20.0 2
205.0 16.0 2
45.0 97.0 1
200.0 17.0 2
52.0 100.0 1
164.0 9.0 2
133.0 121.0 1
234.0 8.0 2
8.0 105.0 1
264.0 20.0 2
206.0 16.0 2
